"artifact","harmonic_centrality"
"org.ow2.jasmine.monitoring:jasmine-eos-common-server:1.2.1-M3","0.19372627482266952"
"org.apache.axis2:axis2-kernel:1.5.1","0.1937237228578269"
"org.codehaus.sonar:sonar-dev-mojo:1.12.6","0.19370683387196402"
"org.nuiton:nuiton-utils:1.1.1","0.19370556807511516"
"org.apache.james:apache-james-mailbox-api:0.2-M1","0.1936685584909542"
"org.codehaus.sonar:sonar-plugin-api:2.11-RC2","0.19363238318408413"
"org.pustefixframework:pustefix-core:0.16.7","0.1936120269247075"
"org.apache.axis2:axis2-kernel:1.6.0","0.19360338363899085"
"org.codehaus.groovy:groovy:1.9.0-beta-3","0.19359126507059132"
"net.sf.jasperreports:jasperreports:4.0.1","0.19359071417908807"
"com.google.inject:guice:3.0","0.19358524433691682"
"javax.xml.bind:jaxb-api:2.0","0.19354227627705117"
"javax.validation:validation-api:1.0.0.GA","0.1935407327709904"
"org.springframework:spring-context-support:2.5.6.SEC03","0.19353274118783242"
"org.apache.portals.jetspeed-2:jetspeed-cm:2.2.2","0.19348030639833244"
"org.apache.tika:tika-parsers:0.7","0.19347760816118473"
"net.sf.squirrel-sql:fw:3.2.0-RC1","0.19332565005092944"
"org.apache.axis2:axis2-jaxws-api:1.3","0.1933224969631673"
"org.apache.james.protocols:protocols-smtp:1.4","0.1932698561654613"
"org.kuali.student.common:ks-common-ui:1.2.2-M3","0.19322799302262506"
"antlr:antlr:2.7.6","0.19321016095717064"
"br.com.caelum:vraptor:3.4.1","0.19321012500296836"
"org.ow2.jasmine.monitoring:jasmine-eos-common-server:1.2.5","0.19317982335859998"
"org.apache.myfaces.tobago:tobago-core:1.5.4","0.19314035410706923"
"rome:rome:0.9","0.19313157308055315"
"commons-digester:commons-digester:2.0","0.19310528160995624"
"org.springframework.ws:spring-xml:1.5.8","0.1930936046596321"
"javax.servlet:servlet-api:2.3","0.19308051343046337"
"commons-validator:commons-validator:1.2.0","0.19303243491425845"
"com.cedarsoft.commons:serialization:1.6.3","0.1930106369866283"
"org.openengsb.core:openengsb-core-security:1.3.0.M1","0.1929895119366916"
"org.eclipse.jetty.aggregate:jetty-all-server:7.3.1.v20110307","0.19298037286347255"
"org.apache.ant:ant:1.7.0","0.19298022869843995"
"org.mule:mule-core:2.0.0-M2","0.19297882171439099"
"org.jbpm:jbpm-gwt-form-exporter-freemarker:5.4.2.Final","0.19296636091022715"
"org.codehaus.groovy:groovy:1.8.3","0.19290613137159168"
"org.codehaus.enunciate:enunciate-xfire-client-rt:1.20","0.19282823080350997"
"jotm:jotm:2.0.10","0.19278733947136512"
"net.sf.json-lib:json-lib:2.4","0.1927345247328522"
"xalan:xalan:2.7.0","0.1927228008771705"
"log4j:log4j:1.2.13","0.19268908549883781"
"com.cedarsoft.commons:crypt:1.6.3","0.19264612928117447"
"net.sf.dozer:dozer:5.1","0.1926257733700228"
"com.crawljax:crawljax:2.0","0.1926008888834744"
"org.apache.cxf:cxf-common-utilities:2.2.6","0.19256510444092592"
"commons-configuration:commons-configuration:1.7","0.1925541269178706"
"com.cedarsoft.commons:app:4.0.1","0.19250162055026784"
"org.apache.openjpa:openjpa:2.0.1","0.1924999062399831"
"org.openengsb.core:openengsb-core-common:1.2.1.RELEASE","0.1924356317947203"
"org.apache.cxf:cxf-common-utilities:2.1.1","0.19239513778441758"
"com.collabnet.labmanagement.api:labmanagement-rest-api-client:1.0","0.1923947441163742"
"org.apache.axis2:axis2-kernel:1.5.2","0.19229509665350716"
"org.jbehave:jbehave-core:3.0-beta-8","0.19227723855825501"
"org.apache.httpcomponents:httpclient:4.1.3","0.19225347169893778"
"net.liftweb:lift-util:1.1-M7","0.19222947736182386"
"org.apache.axis2:axis2-kernel:1.6.1","0.1921855273287388"
"org.openl:org.openl.poi.lib:5.7.3","0.1921853296062324"
"org.apache.pig:pig:0.9.2","0.1921298672460576"
"net.jcip:jcip-annotations:1.0","0.19208722617432325"
"org.apache.continuum:continuum-purge:1.4.0","0.19204159793878361"
