artifact,union_find
de.huxhorn.lilith:de.huxhorn.lilith.logback.access-adapter:0.9.30,30125
ch.qos.logback:logback-access:0.9.9,30125
org.apache.myfaces.tobago:maven-apt-plugin:1.0.18,30125
org.codehaus.plexus:plexus-compiler-javac:1.5.3,30125
org.codehaus.plexus:plexus-compiler-api:1.5.3,30125
org.codehaus.plexus:plexus-container-default:1.0-alpha-8,30125
junit:junit:4.4,30125
org.apache.maven:maven-plugin-api:2.0.5,30125
org.apache.maven:maven-project:2.0.5,30125
org.apache.maven:maven-settings:2.0.5,30125
org.apache.maven:maven-profile:2.0.5,30125
org.apache.maven:maven-model:2.0.5,30125
org.apache.maven:maven-artifact-manager:2.0.5,30125
org.apache.maven:maven-repository-metadata:2.0.5,30125
org.apache.maven:maven-artifact:2.0.5,30125
org.codehaus.plexus:plexus-utils:1.0.5,30125
classworlds:classworlds:1.1-alpha-2,30125
org.glassfish.orb:orb-connector:3.1-b35,30125
com.sun.corba:glassfish-corba-orbgeneric:3.1.0-b019,30125
com.sun.corba:glassfish-corba-omgapi:3.1.0-b019,30125
com.sun.corba:glassfish-corba-internal-api:3.1.0-b019,30125
com.sun.enterprise:hk2:1.0.72,30125
com.sun.enterprise:hk2-core:1.0.72,30125
org.glassfish.hk2:class-model:1.0.72,30125
com.sun.enterprise:config:1.0.72,30125
org.glassfish.hk2.external:bean-validator:1.0.72,30125
com.sun.enterprise:auto-depends:1.0.72,30125
org.glassfish.hk2.external:asm-all-repackaged:1.0.72,30125
org.glassfish.deployment:dol:3.1-b35,30125
org.glassfish:javax.servlet:3.1-b35,30125
org.glassfish:javax.annotation:3.1-b35,30125
org.glassfish:javax.transaction:3.1-b35,30125
org.glassfish:javax.enterprise.deploy:3.1-b35,30125
org.eclipse.persistence:javax.persistence:2.0.3,30125
org.glassfish:javax.resource:3.1-b35,30125
org.glassfish.common:common-util:3.1-b35,30125
org.glassfish.deployment:deployment-common:3.1-b35,30125
org.glassfish.common:internal-api:3.1-b35,30125
org.glassfish.common:annotation-framework:3.1-b35,30125
org.glassfish:javax.ejb:3.1-b35,30125
org.glassfish.common:glassfish-api:3.1-b35,30125
org.glassfish.common:scattered-archive-api:3.1-b35,30125
com.sun.enterprise:config-types:1.0.72,30125
com.sun.grizzly:grizzly-utils:1.9.27,30125
com.sun.grizzly:grizzly-lzma:1.9.27,30125
org.glassfish.admin:config-api:3.1-b35,30125
com.sun.grizzly:grizzly-config:1.9.27,30125
com.sun.enterprise:osgi-adapter:1.0.72,30125
com.sun.grizzly:grizzly-http:1.9.27,30125
com.sun.grizzly:grizzly-framework:1.9.27,30125
com.sun.grizzly:grizzly-rcm:1.9.27,30125
com.sun.grizzly:grizzly-portunif:1.9.27,30125
org.glassfish.admin:monitoring-core:3.1-b35,30125
org.glassfish.common:stats77:3.1-b35,30125
org.glassfish.flashlight:flashlight-framework:3.1-b35,30125
org.glassfish.flashlight:flashlight-agent:3.1-b35,30125
org.fusesource.scalate:scalate-guice:1.4.0,30125
org.fusesource.scalate:scalate-core:1.4.0,30125
org.fusesource.scalate:scalate-util:1.4.0,30125
com.sun.jersey.contribs:jersey-guice:1.5,30125
com.sun.jersey:jersey-server:1.5,30125
com.sun.jersey:jersey-core:1.5,30125
asm:asm:3.1,30125
com.google.inject.extensions:guice-servlet:2.0,30125
com.google.inject:guice:2.0,30125
org.wicketstuff:multi-text-input-examples:1.4.10,30125
org.wicketstuff:multi-text-input:1.4.10,30125
org.wicketstuff:prototype:1.4.10,30125
org.apache.wicket:wicket-extensions:1.4-rc2,30125
org.apache.wicket:wicket:1.4-rc2,30125
org.slf4j:slf4j-api:1.5.11,30125
org.slf4j:slf4j-log4j12:1.5.11,30125
org.drools:drools-jsr94:5.5.0.Final,30125
org.drools:drools-core:5.5.0.Final,30125
org.mvel:mvel2:2.1.3.Final,30125
org.drools:knowledge-api:5.5.0.Final,30125
org.drools:knowledge-internal-api:5.5.0.Final,30125
org.drools:drools-compiler:5.5.0.Final,30125
org.antlr:antlr-runtime:3.3,30125
org.antlr:antlr:3.3,30125
org.antlr:stringtemplate:3.2.1,30125
antlr:antlr:2.7.7,30125
org.eclipse.jdt.core.compiler:ecj:3.5.1,30125
org.drools:drools-decisiontables:5.5.0.Final,30125
org.drools:drools-templates:5.5.0.Final,30125
net.sourceforge.jexcelapi:jxl:2.6.10,30125
jsr94:jsr94:1.1,30125
org.apache.james:apache-james-mpt-app:0.1,30125
org.apache.james:apache-james-mpt-main:0.1,30125
commons-logging:commons-logging:1.1,30125
junit:junit:3.8.1,30125
commons-cli:commons-cli:1.1,30125
org.jvnet.hudson.main:maven-agent:1.95,30125
org.jvnet.hudson.main:maven-interceptor:1.95,30125
org.apache.maven:maven-core:2.0.4,30125
org.apache.maven:maven-settings:2.0.4,30125
org.apache.maven.wagon:wagon-file:1.0-alpha-7,30125
org.apache.maven:maven-plugin-parameter-documenter:2.0.4,30125
org.apache.maven.wagon:wagon-http-lightweight:1.0-alpha-6,30125
org.apache.maven.reporting:maven-reporting-api:2.0.4,30125
org.apache.maven:maven-profile:2.0.4,30125
org.apache.maven:maven-model:2.0.4,30125
org.apache.maven.wagon:wagon-provider-api:1.0-alpha-6,30125
org.codehaus.plexus:plexus-container-default:1.0-alpha-9,30125
org.apache.maven:maven-repository-metadata:2.0.4,30125
org.apache.maven:maven-error-diagnostics:2.0.4,30125
org.apache.maven:maven-project:2.0.4,30125
org.apache.maven:maven-plugin-registry:2.0.4,30125
org.apache.maven:maven-plugin-api:2.0.4,30125
org.apache.maven.wagon:wagon-ssh-external:1.0-alpha-6,30125
org.apache.maven:maven-plugin-descriptor:2.0.4,30125
org.apache.maven:maven-artifact-manager:2.0.4,30125
