artifact,betweenness_centrality
org.glassfish.packager:glassfish-common-tmp:3.1-b17,672
com.sun.grizzly:grizzly-config:1.9.19-beta5,667.5
org.glassfish.packager:glassfish-common-tmp:3.1-b35,666
org.glassfish.packager:glassfish-jms:3.0-b74a,665.166666666667
log4j:log4j:1.2.15,664.233333333333
org.glassfish.packager:glassfish-common-tmp:3.0-b73,664
org.glassfish.packager:glassfish-jsf:3.1-b40,662
org.ow2.jonas:jonas-carol-registry:5.2.0-M3,661.2
org.apache.maven.plugins:maven-dependency-plugin:2.0,659
com.sun.enterprise:osgi-adapter:1.1.0,658.75
org.glassfish.packager:glassfish-jts:3.1-b31,656
org.apache.velocity:velocity-tools:2.0,652.269047619048
org.glassfish.packager:glassfish-osgi-gui:3.1.1-b01,650
org.glassfish.packager:glassfish-javahelp:3.1-b17,650
org.glassfish.admin:admin-cli:3.1-b12,645
org.glassfish.packager:glassfish-registration:3.1.1-b05,642
org.glassfish.packager:glassfish-jms:3.1-b30,641
org.glassfish.packager:glassfish-ha:3.1.1,637
org.glassfish.packager:shoal:3.1-b17,637
org.glassfish.packager:glassfish-jms:3.0-b63,629.5
org.apache.maven:maven-core:2.0,626.940476190476
org.glassfish.packager:glassfish-common-tmp:3.0-b71,626
org.glassfish.packager:glassfish-upgrade:3.1-b17,621
org.glassfish.packager:glassfish-cluster:3.1-b16,620
org.glassfish.packager:glassfish-jca:3.1.1-b11,619
org.glassfish.packager:glassfish-web:3.1-b40,615
org.glassfish.packager:glassfish-jts:3.1-b12,614
org.glassfish.packager:glassfish-cluster:3.1-b35,612
org.glassfish.packager:glassfish-ha:3.1-b16,612
org.glassfish.packager:glassfish-common-tmp:3.1-b16,612
com.sun.grizzly:grizzly-config:1.9.36,610.5
org.glassfish.web:jsf-connector:3.1-b30,609
org.glassfish.packager:glassfish-jms:3.1-b12,608
org.glassfish.connectors:gf-connectors-connector:3.1.1-b10,604.5
org.glassfish.packager:glassfish-common-tmp:3.0.1-b20,602
org.glassfish.packager:shoal:3.1-b35,600
org.glassfish.packager:glassfish-registration:3.1-b17,600
org.glassfish.packager:glassfish-jts:3.0-b74,598
com.sun.enterprise:hk2:1.0.0,596.333333333333
org.glassfish.packager:glassfish-jta:3.1.1-b02,595
org.apache.maven.shared:maven-dependency-tree:1.2,594.533333333333
org.glassfish.packager:glassfish-osgi-gui:3.1-b40,594
org.glassfish.packager:glassfish-registration:3.0.1-b20,594
org.glassfish.packager:glassfish-jpa:3.0.1-b20,592
org.glassfish.packager:glassfish-jca:3.0.1-b20,576
org.glassfish.packager:glassfish-upgrade:3.0.1-b20,576
org.glassfish.common:internal-api:3.0,574
org.glassfish.packager:shoal:3.1-b16,572
org.glassfish.packager:glassfish-javahelp:3.0.1-b20,572
commons-lang:commons-lang:1.0,570.5
com.sun.grizzly:grizzly-config:1.9.18-k,567.333333333333
jaxen:jaxen:1.1,567.266666666667
org.apache.maven:maven-core:2.0.6,563.833333333333
org.glassfish.packager:glassfish-common-tmp:3.1-b32,562.166666666667
org.glassfish.packager:glassfish-ha:3.1-b35,560
org.glassfish.packager:glassfish-corba:3.0.1-b20,560
org.glassfish.packager:glassfish-management:3.0.1-b20,560
org.glassfish.packager:glassfish-management:3.1.1-b05,557
javax.mail:mail:1.4.3,556
org.glassfish.packager:glassfish-javahelp:3.1-b16,552
org.glassfish.packager:glassfish-ejb:3.0.1-b08,548
org.glassfish.packager:glassfish-jpa:3.1.1-b11,546
org.kuali.rice:rice-impl:1.0.3.3,544.445238095238
org.kuali.rice:rice-core-impl:2.2.0,544.224603174603
org.glassfish.packager:glassfish-ejb:3.0-b74a,543.166666666667
org.glassfish.packager:glassfish-management:3.1-b17,539
org.glassfish.core:kernel:3.1.1-b01,538.166666666667
org.glassfish.packager:glassfish-upgrade:3.0-b71,534
slide:slide-webdavlib:2.1,532
org.glassfish.packager:glassfish-jca:3.1-b17,528
org.glassfish.packager:glassfish-ha:3.1-b32,527
org.glassfish.appclient.server:appclient-connector:3.0-b74,526
org.glassfish.appclient.server:appclient-server-core:3.0-b74,524
org.glassfish.packager:glassfish-jms:3.1-b31,522
org.apache.maven:maven-core:2.0.4,520.1
org.glassfish.common:amx-ext-impl:3.0-b74,520
org.glassfish.packager:glassfish-jca:3.1.1-b05,518
javax.mail:mail:1.4,515.709523809524
org.apache.maven:maven-project:2.0.4,512.566666666667
org.glassfish.packager:glassfish-upgrade:3.1-b16,511
