artifact,hcentrality
com.sun.grizzly:grizzly-jruby:1.8.6,0
com.sourcesense.solr:solr-packager:1.0.2,0
javax.servlet:servlet-api:2.2,0
org.objectweb.fractal:cecilia:2.0.2,0
com.gestalt.jbi.components.common:common-jbi:0.9.3,0
javax.el:javax.el-api:1.1.2,0
org.objectweb.fractal.juliac.examples:proxyparameters:2.2.3,0
org.apache.portals.applications:apa-logging:1.0,0
org.ow2.bundles:ow2-util-pool:1.0.24,0
cactus:cactus-maven:1.7,0
org.glassfish.packager:glassfish-full-incorporation:3.1-b08,0
org.ow2.jonas:jonas-modules:5.1.0-RC2,0
foxtrot:foxtrot-core:3.0,0
org.objectweb.fractal.juliac:juliac-plugin-parent:2.1.3,0
org.codeartisans.thirdparties.jsw:jsw-standard:3.5.9,0
org.apache.aries.samples.blueprint.idverifier:org.apache.aries.samples.blueprint.idverifier.api:0.2-incubating,0
org.pustefixframework:pustefix-security:0.18.20,0
org.ow2.jonas:jonas-libraries-transaction:5.1.1,0
com.googlecode.jcsv:jcsv:1.4.0,0
org.glassfish.tests:tests:3.1-b33,0
net.liftweb:lift-base_2.7.7:2.2-M1,0
com.j256.ormlite:ormlite-core:4.6,0
com.sun.xml.bind:jaxb1-impl:2.0.2,0
org.ow2.jasmine.monitoring:jasmine-monitoring-installer-assemblies:1.2.7,0
org.sonatype.flexmojos:flexmojos-archetypes-application:4.0-alpha-1,0
org.jbundle.util.wsdl:org.jbundle.util.wsdl.wsdl11:1.0.0,0
org.kohsuke.stapler:stapler:1.12,0
org.glassfish.ejb:ejb:3.1-b04,0
com.sun.grizzly.samples:grizzly-comet-counter:1.9.14,0
org.ops4j.pax:exam:2.5.0,0
org.apache.maven.archetypes:maven-archetype-j2ee-simple:1.0-alpha-4,0
org.glassfish.admingui:console-corba-plugin:3.0.1-b15,0
org.nuiton:mavenpom:3.2.1,0
org.glassfish.packager:glassfish-web-profile:3.0.1-b12,0
org.ow2.jasmine.kerneos:kerneos-login:1.2.1-M5,0
org.mortbay.jetty:cometd-api:0.9.20071106,0
org.jvnet.hudson.plugins:plugin:1.250,0
com.cedarsoft.commons.old:objectaccess:2.0.2,0
org.glassfish.appclient:client:3.1-b12,0
com.sun.jersey.archetypes:jersey-quickstart-ejb:1.8-ea01,0
org.apache.tuscany.sca:tuscany-contribution-zip:2.0-Beta3,0
com.thoughtworks.paranamer:paranamer:1.1.1,0
org.apache.myfaces.extensions.cdi.modules:myfaces-extcdi-scripting-module-impl:1.0.0,0
org.ops4j.pax:logging:1.5.2,0
org.codehaus.sonar:sonar-check-api:2.14-RC1,0
org.sonatype.aether:aether-parent:1.8,0
org.mobicents.servlet.sip.containers:sip-servlets-jboss5:1.7.0.FINAL,0
org.apache.myfaces.core:myfaces-api:2.0.0-beta-2,0
net.liftweb:lift-parent_2.7.7:2.2-RC6,0
org.apache.myfaces.buildtools:myfaces-archetype-helloworld20:1.0.3,0
org.glassfish.packager:legal-fragment:3.1-b36,0
org.eclipse.jetty:jetty-start:7.5.0.RC0,0
org.mobicents.protocols.ss7.hardware:mobicents-dahdi-native:2.0.0.BETA1,0
com.godmonth:deps:0.5,0
org.mortbay.jetty:jetty-jsp-2.1:7.0.1.v20091125,0
org.seleniumhq.selenium:selenium-parent:2.28.0,0
net.awired.js:jasmine:1.1.0,0
org.eclipse.jst.ws.consumption:infopop:1.0.203-v200706110217,0
org.codehaus.fabric3.weblogic:fabric3-weblogic-kernel:1.8.1,0
net.sf.dtddoc:dtdparser:1.20-dtddoc,0
org.glassfish.connectors:connectors:3.0.1-b08,0
org.apache.felix:org.apache.felix.eventadmin:1.2.12,0
org.ujoframework:ujo-core:0.93,0
org.ow2.jasmine.monitoring:jasmine-monitoring-installer:1.4.1-M1,0
toplink.essentials:toplink-essentials-agent:2.0.1-01,0
org.osgi:org.osgi:2.0.0,0
org.codehaus.enunciate:enunciate-build-support:1.0,0
org.jvnet.updatecenter2:pkg:2.0.13-1088,0
org.codehaus.sonar.plugins:sonar-core-plugin:2.14-RC2,0
org.codehaus.fabric3:fabric3-tx:1.1,0
com.sun.grizzly.samples:grizzly-comet-chat:1.9.19-beta1,0
com.google.appengine:appengine-api-1.0-sdk:1.5.4,0
tapestry:tapestry-contrib:4.0-beta-4,0
org.hornetq:hornetq-core:snap-r9312,0
org.xwiki.commons:xwiki-commons-tool-license-resources:4.2-milestone-1,0
org.apache.myfaces.tobago:tobago:1.0.23,0
org.apache.camel:examples:2.4.0,0
org.glassfish.admin:admin:3.0.1,0
com.google.api.client:google-api-client-parent:1.3.2-alpha,0
findbugs:findbugs-plugin:0.6.5,0
org.xsocket:xSocket:2.8.6,0
org.openengsb.docs:openengsb-docs-parent:1.1.0.M3,0
org.jvnet.hudson.plugins:sectioned-view:1.13,0
org.apache.tapestry:tapestry-json:5.2.5,0
net.sf.jopt-simple:jopt-simple:4.4-beta-3,0
payload:payload:0.1,0
org.jruby.extras:jffi:0.6.3,0
com.sun.jersey:jersey-core:1.8-ea04,0
drools:drools-smf:2.0-beta-17,0
org.mortbay.jetty.testwars:dummy-java13-lib:8.0.3.v20111011,0
org.jvnet.hudson.plugins:clearcase:1.1.1,0
net.sf.jped:jedit-syntax:2.2.2,0
org.openengsb.docs:openengsb-docs-examples:1.3.0.M3,0
org.jboss.arquillian.ajocado:arquillian-ajocado-api:1.0.0.CR1,0
org.pojava:pojava:2.5.0,0
org.apache.myfaces.tobago:tobago-example:1.0.39,0
org.ow2.petals:petals-components-sls-parent:4.1,0
net.javacrumbs:mock-socket-parent:0.4,0
com.force.sdk:springmvc-archetype:22.0.7-BETA,0
org.codehaus.service-conduit:sca4j-async:0.9.0,0
sk.seges.acris:acris-asmant:1.2.2,0
org.jdtaus.banking:jdtaus-banking-schemas:1.11.7,0
org.glassfish.ejb:ejb:3.0-Prelude-Embedded-m2,0
net.sf.beaver:beaver-rt:0.9.11,0
org.apache.servicemix.specs:org.apache.servicemix.specs.stax-api-1.0:1.7.0,0
org.apache.whirr:whirr:0.2.0-incubating,0
org.apache.geronimo.configs:procrun:2.1.7,0
org.eclipse.birt.runtime.3_7_1:org.apache.batik.ext.awt:1.6.0,0
com.google.code.plsqlmaven:oraddl-helpers:1.3,0
it.tidalwave.thesefoolishthings:it-tidalwave-util-logging:1.1.11,0
org.apache.maven.reporting:maven-reporting:2.0-beta-3,0
org.apache.tika:tika-app:0.10,0
org.codehaus.sonar:sonar-check-api:2.1,0
org.glassfish.registration:registration-api:3.1.1-b04,0
com.cedarsoft.commons.old:zip:4.0.1,0
org.codehaus.cargo:cargo-build-tools:1.0-alpha-4,0
com.liferay.maven:maven-support:6.0.2,0
org.apache.servicemix.specs:org.apache.servicemix.specs.jsr250-1.0:2.2.0,0
