artifact,trans_usages
org.glassfish.external:ant:3.0-b63,22
org.objectweb.perseus:perseus-persistence:1.6.1,26
org.glassfish.external:libpam4j-repackaged:3.1-b15,6
org.glassfish:javax.ejb:3.1-b12,20
org.mortbay.jetty:jetty:6.0.0beta17,1
org.apache.commons:commons-math:2.2,21
org.glassfish.common:annotation-framework:3.0.1-b18,2
com.sun.grizzly:grizzly-utils:1.9.46,7
se.vgregion.vertikala-prioriteringar:vertikala-prioriteringar-core-bc-composite-svc:1.0,2
org.kuali.student.lum:ks-lum-ui:1.2.2-M4,1
org.ow2.util:util-archive-api:1.0.33,10
org.glassfish.web:webtier-all:3.0-b74b,2
org.glassfish:javax.resource:3.0.1-b01,25
org.netbeans.api:org-netbeans-api-progress:RELEASE68,6
org.apache.myfaces.extensions.cdi.core:myfaces-extcdi-core-impl:1.0.5,1
org.apache.axis2:axis2-transport-http:1.6.1,1
org.jclouds:jclouds-blobstore:1.5.0-beta.4,2
org.glassfish.admingui:console-jca-plugin:3.1.1-b02,9
org.sonatype.nexus:nexus-configuration:1.3.2,2
org.jboss.arquillian.test:arquillian-test-spi:1.0.0.CR4,2
org.glassfish.persistence:jpa-connector:3.1-b30,16
org.coosproject.api:coos-api:1.2.9,2
org.glassfish.admingui:console-ejb-plugin:3.1-b06,2
org.apache.axis2:axis2-codegen:1.5.4,1
org.apache.myfaces.commons:myfaces-validators12:1.0.0,1
org.apache.solr:solr-noggit:3.1.0,6
org.sonatype.nexus:nexus-plugin-api:2.0.3,2
org.apache.maven:maven-settings-builder:3.0-beta-2,2
net.liftweb:lift-util_2.8.1:2.3-RC4,1
org.apache.tomcat:catalina:6.0.13,4
org.ow2.cmi:cmi-lb:2.1.0,2
org.glassfish.cluster:cluster-ssh:3.1-b30,11
org.glassfish.ejb:ejb-internal-api:3.0-b64,2
org.glassfish.external:schema2beans-repackaged:3.0-b74,4
org.jclouds.api:vcloud:1.0-beta-9d,1
com.sun.faces.extensions:jsf-extensions-common:0.1,2
org.kuali.rice:rice-ken-api:2.2.0,4
org.apache.felix:org.apache.felix.framework:3.0.9,3
org.ow2.util:util-xmlconfig:1.0.3,3
net.liftweb:lift-proto_2.8.0:2.4-M4,2
org.glassfish.connectors:connectors-admin:3.1.1-b10,26
com.proofpoint.platform:configuration:0.46,1
org.scalatra:scalatra_2.9.0-1:2.0.0,1
org.glassfish.common:stats77:3.1.1,3
org.ow2.util:util-archive-api:1.0.11,9
com.sun.enterprise:osgi-adapter:1.0.29,112
com.proofpoint.platform:http-server:0.55,1
org.glassfish.web:web-glue:3.0-b74a,4
org.glassfish.core:glassfish:3.1-b10,15
net.liftweb:lift-mapper_2.8.0:2.1-RC1,2
javax:javaee-web-api:6.0,1
