artifact,page_rank
org.jacorb:jacorb:2.2.3-jonas-patch-20071018,1.012563
org.yaml:snakeyaml:1.8,1.0103445
org.ow2.easybeans:easybeans-asm:3.0,1.007038
com.google.code.gson:gson:2.1,1.0068
org.ow2.util:util-i18n:1.0.29,1.0064515
commons-logging:commons-logging-api:1.0.4,1.005134
org.objectweb.fractal:fractal-api:2.0.2,1.004556
org.springframework:spring-tx:3.0.5.RELEASE,1.0038845
org.codehaus.woodstox:wstx-asl:3.2.4,1.002516
org.apache.geronimo.specs:geronimo-jaxrpc_1.1_spec:1.1,1.002499
com.sun.grizzly:grizzly-portunif:1.9.18-k,1.0018105
org.slf4j:slf4j-api:1.6.3,0.998861
com.google.guava:guava:r07,0.998232
org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.0.Final,0.9972205
org.beanshell:bsh:2.0b4,0.99473
com.sun.grizzly:grizzly-comet:1.9.18-k,0.9942455
com.sun.enterprise:osgi-adapter:1.0.61,0.990089
org.ow2.util:util-i18n:1.0.21,0.989069
org.jclouds:jclouds-core:1.1.0,0.986672
com.sun.enterprise:auto-depends:1.0.0,0.98368
org.ow2.util:util-archive-api:1.0.8,0.9809685
org.codehaus.woodstox:wstx-asl:3.2.7,0.9805265
org.json:json:20090211,0.979736
org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final,0.976608
javax.xml.stream:stax-api:1.0,0.973735
org.slf4j:slf4j-api:1.5.0,0.972868
cglib:cglib-nodep:2.2,0.9678445
com.sun.grizzly:grizzly-http:1.9.19-beta7,0.966408
logkit:logkit:1.2,0.9662805
javax.xml.bind:jaxb-api:2.2.1,0.964674
com.sun.grizzly:grizzly-lzma:1.9.19-beta5,0.96073
xerces:xercesImpl:2.4.0,0.959863
org.w3c.css:sac:1.3,0.9593615
org.codehaus.jackson:jackson-core-asl:1.9.2,0.9563185
junit:junit:4.6,0.9556045
log4j:log4j:1.2.9,0.95529
com.sun.grizzly:grizzly-utils:1.9.19-beta5,0.953828
org.jyaml:jyaml:1.3,0.9520005
org.jacorb:jacorb-idl:2.2.3-jonas-patch-20071018,0.9499775
org.ow2.util:util-i18n:1.0.14,0.947793
com.sun.grizzly:grizzly-http:1.9.18-o,0.9462545
org.hamcrest:hamcrest-all:1.1,0.942591
junit:junit:4.5,0.940874
org.shoal:shoal-gms-impl:1.5.34,0.940687
org.jdtaus.common:jdtaus-core-api:1.15,0.938443
org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.6,0.9372615
org.jboss.logging:jboss-logging-spi:2.0.5.GA,0.9363775
com.sun.corba:glassfish-corba-internal-api:3.2.0-b002,0.9337425
org.springframework:spring-beans:2.5.4,0.9335045
org.apache.maven.shared:maven-osgi:0.2.0,0.9300025
org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.1,0.9298325
relaxngDatatype:relaxngDatatype:20020414,0.9284895
org.javassist:javassist:3.15.0-GA,0.924163
org.codehaus.plexus:plexus-utils:1.1,0.9213665
com.sun.enterprise:osgi-adapter:1.0.74,0.919369
org.codehaus.plexus.registry:plexus-registry-commons:1.0-alpha-2,0.9170825
com.sun.grizzly:grizzly-rcm:1.9.18-k,0.915561
commons-digester:commons-digester:1.8,0.9145665
xerces:xmlParserAPIs:2.6.2,0.912348
javax.transaction:transaction-api:1.1,0.910291
com.sun.xml.bind:jaxb-xjc:2.1.13,0.909815
org.glassfish.hk2.external:asm-all-repackaged:1.0.26,0.907758
org.codehaus.plexus:plexus-utils:1.5.5,0.9063895
org.springframework:spring-context:2.5.4,0.901706
jaxen:jaxen:1.1,0.8996575
org.apache.velocity:velocity:1.7,0.8986545
org.jclouds:jclouds-core:1.1.1,0.8955435
com.googlecode.json-simple:json-simple:1.1,0.89392
com.sun.enterprise:auto-depends:1.0.25,0.8907665
org.springframework:spring-asm:3.0.6.RELEASE,0.8840515
com.sun.grizzly:grizzly-config:1.9.18-g,0.882547
org.codehaus.plexus:plexus-container-default:1.0-alpha-30,0.8822155
org.springframework:spring-aop:2.5.6,0.8821985
org.jclouds:jclouds-core:1.0-beta-9d,0.8810595
com.sun.enterprise:osgi-adapter:1.0.25,0.880762
org.testng:testng:6.2.1,0.8806345
org.apache.felix:org.osgi.foundation:1.2.0,0.8802775
com.sun.xml.bind:jaxb-impl:2.1.7,0.87998
net.sf.ehcache:ehcache:1.2.3,0.877617
commons-io:commons-io:2.1,0.8772515
com.sun.grizzly:grizzly-http:1.9.19-beta5,0.876325
org.jboss.netty:netty:3.2.4.Final,0.8754665
org.ow2.util:util-i18n:1.0.25,0.8738345
org.springframework:spring-web:2.0.8,0.8731885
org.apache.ws.commons.schema:XmlSchema:1.4.3,0.8690235
cglib:cglib-nodep:2.2.2,0.868862
args4j:args4j:2.0.12,0.867281
com.sun.grizzly:grizzly-config:1.9.35,0.8663375
org.springframework:spring-aop:3.0.7.RELEASE,0.8661335
asm:asm:2.2.3,0.8651815
org.eclipse.jetty:jetty-util:7.2.2.v20101205,0.863286
org.jdom:jdom:1.1.3,0.862844
net.java.dev.javacc:javacc:5.0,0.862657
org.codehaus.plexus:plexus-archiver:1.2,0.862079
commons-primitives:commons-primitives:1.0,0.858424
commons-io:commons-io:1.1,0.856554
org.apache.geronimo.specs:geronimo-j2ee-management_1.1_spec:1.0.1,0.8503915
org.apache.xmlrpc:xmlrpc-common:3.1,0.8478755
org.glassfish.hk2.external:asm-all-repackaged:1.0.29,0.847221
org.mortbay.jetty:servlet-api:3.0.20100224,0.8458525
org.jboss.netty:netty:3.2.7.Final,0.8429115
org.shoal:shoal-cache:1.5.34,0.8420955
org.sonatype.plexus:plexus-cipher:1.5,0.8410755
com.google.code.javaparser:javaparser:1.0.8,0.835967
javassist:javassist:3.8.0.GA,0.833825
com.sun.corba:glassfish-corba-omgapi:3.2.0-b002,0.8320315
com.jamesmurty.utils:java-xmlbuilder:0.3,0.8305355
org.glassfish:bean-validator:3.0-JBoss-4.0.0.Beta3A,0.8296855
dom4j:dom4j:1.4,0.829422
org.apache.ws.commons.schema:XmlSchema:1.4.2,0.829167
org.slf4j:jcl-over-slf4j:1.6.4,0.828113
com.sun.enterprise:auto-depends:1.1.0,0.8275945
ch.qos.cal10n:cal10n-api:0.7.2,0.825478
org.ow2.util:util-archive-api:1.0.21,0.823013
commons-io:commons-io:1.3.2,0.8223075
org.apache.maven:maven-artifact:2.0.4,0.821143
