"artifact","direct_dependencies"
"org.ow2.orchestra:orchestra-cluster-jgroups:4.7.0","15"
"org.sakaiproject.portal:sakai-portal-assembly:2.9.0-b03","15"
"org.openbel:org.openbel.framework.core:2.0.0","15"
"org.glassfish.packager:glassfish-common-tmp:3.1-b10","15"
"org.glassfish.packager:glassfish-common-tmp:3.1-b31","15"
"org.glassfish.packager:glassfish-common-tmp:3.1-b30","15"
"org.ow2.jonas:jonas-ejb-container:5.1.0-M3","15"
"org.grails:grails-web:2.0.2","15"
"org.sonatype.nexus:nexus-proxy:1.6.0","15"
"org.ow2.jonas:jonas-genic:5.2.0","15"
"org.glassfish.orb:orb-iiop:3.1-b24","15"
"org.glassfish.metro:metro-standalone:2.1.2-b01","15"
"org.apache.jackrabbit:jackrabbit-core:2.2.2","15"
"org.sonatype.nexus:nexus-proxy:1.0.1","15"
"org.apache.maven.plugins:maven-project-info-reports-plugin:2.0","15"
"org.juzu:juzu-builder:0.5.1","15"
"org.apache.axis2:axis2-fastinfoset:1.5.6","14"
"org.eobjects.analyzerbeans:AnalyzerBeans-core:0.13","14"
"org.eobjects.analyzerbeans:AnalyzerBeans-core:0.11","14"
"org.eobjects.analyzerbeans:AnalyzerBeans-core:0.12","14"
"net.sf.itcb.common:itcb-common-business-impl:0.6.0-RC14","14"
"org.apache.cassandra:cassandra-all:0.7.0","14"
