"artifact","label"
"org.apache.maven.wagon:wagon-ssh:1.0-beta-2","309"
"com.jcraft:jsch:0.1.27","309"
"org.codehaus.plexus:plexus-utils:1.4.1","310"
"classworlds:classworlds:1.1","311"
"org.apache.maven.scm:maven-scm-api:1.0-beta-3","482"
"org.apache.maven.plugins:maven-scm-plugin:1.0-beta-3","324"
"org.apache.maven.scm:maven-scm-provider-vss:1.0-beta-3","314"
"org.apache.maven.scm:maven-scm-provider-perforce:1.0-beta-3","316"
"regexp:regexp:1.3","316"
"org.apache.maven.scm:maven-scm-provider-bazaar:1.0-beta-3","317"
"org.apache.maven.scm:maven-scm-manager-plexus:1.0-beta-3","457"
"org.apache.maven.scm:maven-scm-provider-local:1.0-beta-3","319"
"org.apache.maven.scm:maven-scm-provider-svnexe:1.0-beta-3","482"
"org.apache.maven.scm:maven-scm-provider-svn-commons:1.0-beta-3","482"
"org.apache.maven.scm:maven-scm-provider-clearcase:1.0-beta-3","322"
"org.apache.maven.scm:maven-scm-provider-cvsexe:1.0-beta-3","324"
"org.apache.maven.scm:maven-scm-provider-cvs-commons:1.0-beta-3","324"
"org.apache.maven.scm:maven-scm-provider-starteam:1.0-beta-3","325"
"org.apache.maven:maven-project:2.0","7089"
"org.apache.maven:maven-archiver:2.0","328"
"org.codehaus.plexus:plexus-archiver:1.0-alpha-3","328"
"org.apache.ant:ant:1.7.0","330"
"org.apache.ant:ant-launcher:1.7.0","330"
"com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.15b","331"
"org.apache.geronimo.testsupport:test-war-javaee_5:3.0.0","332"
"org.jbehave:jbehave-odf:3.5-beta-1","21"
"org.jbehave:jbehave-core:3.5-beta-1","21"
"com.thoughtworks.paranamer:paranamer:2.3","335"
"org.odftoolkit:odfdom-java:0.8.7","337"
"xml-apis:xml-apis:1.3.04","337"
"com.sun.grizzly:grizzly-http-servlet-deployer:1.9.35","344"
"com.sun.grizzly:grizzly-http:1.9.35","344"
"com.sun.grizzly:grizzly-framework:1.9.35","340"
"com.sun.grizzly:grizzly-rcm:1.9.35","341"
"com.sun.grizzly:grizzly-portunif:1.9.35","342"
"com.sun.grizzly:grizzly-utils:1.9.35","344"
"com.sun.grizzly:grizzly-lzma:1.9.35","344"
"com.sun.grizzly:grizzly-http-servlet:1.9.35","345"
"com.sun.grizzly:grizzly-servlet-deployer:1.9.35","344"
"com.sun.grizzly:grizzly-compat:1.9.35","344"
"com.sun.grizzly:grizzly-comet:1.9.35","344"
"com.sun.grizzly:grizzly-cometd:1.9.35","349"
"com.sun.grizzly:grizzly-websockets:1.9.35","345"
"javax.servlet:servlet-api:2.5","351"
"org.seleniumhq.selenium:selenium-support:2.0b2","356"
"org.seleniumhq.selenium:selenium-api:2.0b2","354"
"com.google.guava:guava:r07","354"
"org.hamcrest:hamcrest-all:1.1","355"
"junit:junit:4.8.1","356"
"org.kohsuke:graphviz-api:1.1","357"
"de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-access:0.9.30","360"
"de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.30","360"
"de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.30","360"
"de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.3","361"
"de.huxhorn.sulky:de.huxhorn.sulky.generics:0.9.3","362"
"ch.qos.logback:logback-core:0.9.9","363"
"de.huxhorn.lilith:de.huxhorn.lilith.data.access:0.9.30","366"
"de.huxhorn.lilith:de.huxhorn.lilith.data.eventsource:0.9.30","365"
"org.slf4j:slf4j-api:1.5.0","366"
"de.huxhorn.lilith:de.huxhorn.lilith.logback.access-adapter:0.9.30","367"
"ch.qos.logback:logback-access:0.9.9","368"
"org.apache.myfaces.tobago:maven-apt-plugin:1.0.18","457"
"org.codehaus.plexus:plexus-compiler-javac:1.5.3","457"
"org.codehaus.plexus:plexus-compiler-api:1.5.3","457"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-8","457"
"junit:junit:4.4","373"
"org.apache.maven:maven-plugin-api:2.0.5","374"
"org.apache.maven:maven-project:2.0.5","457"
"org.apache.maven:maven-settings:2.0.5","376"
"org.apache.maven:maven-profile:2.0.5","377"
"org.apache.maven:maven-model:2.0.5","378"
"org.apache.maven:maven-artifact-manager:2.0.5","380"
"org.apache.maven:maven-repository-metadata:2.0.5","380"
"org.apache.maven:maven-artifact:2.0.5","381"
